,N,均值,标准差,最小值,最大值
ESG,39867,4.141069054606567,1.0089230605742678,1.0,8.0
AI,39867,0.7844909206140968,1.1541635899274993,0.0,6.333279628139691
SA_abs,39867,3.8469527469883507,0.2640883211191366,2.973876953125,4.653382778167725
Size,39867,22.23523880871029,1.283434369796735,19.41489601135254,26.45228385925293
Lev,39867,0.42705913290452824,0.20433018852787188,0.027794502675533295,0.9076681137084961
ROA,39867,0.03370455913975926,0.06556032224329737,-0.5562487244606018,0.22234280407428741
Growth,39867,0.15677142894175602,0.4224378091687321,-0.6734951138496399,5.075526237487793
Top1,39867,0.3376490253091529,0.1483229587858104,0.077989,0.7578539999999999
Board,39867,2.1216819080652325,0.1979612438770413,1.6094379425048828,2.70805025100708
SOE,39867,0.35179471743547297,0.47753629627701055,0.0,1.0
ListAge,39867,2.176338897170148,0.7809335341372352,0.6931471824645996,3.526360511779785
